id,name,address,station_code,status,last_connection_date,favorite,tandem,anchor,bikes,latitude,longitude
1,Museo Castagnino,Oroño 1658,1,active,1628786984,False,0,15,5,-32.95421439665977,-60.655986964702606
2,Paseo Pellegrini,Av. Pellegrini 1377,2,active,1628786975,False,0,16,4,-32.956663076908484,-60.64486920833588
3,Plaza López,Pellegrini  779,3,active,1628786997,False,0,19,1,-32.95812144981906,-60.63670188188553
4,Fac. de Ingeniería,Av. Pellegrini 280,4,active,1628786988,False,3,11,9,-32.959215213707765,-60.62944918870926
5,Ciudad Univ. I,Riobamba 239 BIS,5,active,1628786971,False,0,12,9,-32.96736625395059,-60.62357246875763
6,Ciudad Univ. II,Berruti 2271,6,active,1628786990,False,0,10,6,-32.96850040867347,-60.62398016452789
7,Terminal,Cafferata 723,7,active,1628786994,False,0,20,1,-32.93944885753075,-60.67054331302643
8,Fac. Medicina,Av. Francia 723,8,active,1628786982,False,0,11,6,-32.9403492658816,-60.665243268013
9,Pueyrredón,Pueyrredón 1023,9,active,1628786997,False,0,7,3,-32.94573801821987,-60.65809518098831
10,Fac. Ciencias Económicas,Bv. Oroño 1283,10,active,1628786974,False,1,16,4,-32.94996730598237,-60.654785335063934
11,Plaza San Martín,Mariano Moreno 779,11,active,1628786986,False,0,10,9,-32.94402733877261,-60.650536715984344
12,Plaza Pringles,Córdoba 1551,12,active,1628786988,False,0,13,7,-32.94531035146112,-60.644497722387314
13,Plaza Montenegro,San Luis 1020,14,active,1628786973,False,2,18,3,-32.9493843560409,-60.63740864396095
14,Plaza Sarmiento,Entre Rios 1016,13,active,1628786979,False,0,13,7,-32.94882616098827,-60.641776621341705
15,Plaza 25 de Mayo,Córdoba 720,15,active,1628786992,False,1,18,2,-32.94755220262625,-60.63288778066635
16,Pichincha,Bv. Oroño 173,16,active,1628786977,False,1,17,3,-32.936590000253865,-60.65140575170517
17,Distrito Centro,Wheelwright 1587,17,active,1628786974,False,0,4,16,-32.935878648179575,-60.64261347055435
18,Parque España,Dr. Mario Armas 1005,18,active,1628786976,False,0,11,8,-32.94099755421734,-60.63473045825958
21,Parque Independencia I,Av. Pellegrini 2775,19,active,1628786977,False,0,12,0,-32.95358421061909,-60.66343545913696
22,HECA / UCA,Av. Pellegrini 3275,33,active,1628786975,False,1,14,6,-32.95206724436681,-60.67079275846481
23,Parque Independencia II,Av. J Coronado 2667,31,active,1628786994,False,0,14,6,-32.96512040461018,-60.65592795610428
24,Parque de la Arenera,Av. Estanislao López 2861,36,active,1628786979,False,0,8,12,-32.92663505330592,-60.65880596637726
25,Plaza Suecia,Bv. Oroño 239 bis,28,active,1628786989,False,0,13,7,-32.93184904583995,-60.65018132328987
26,Gimnasio UNR,Mariano Moreno 483,26,active,1628786998,False,1,16,4,-32.94041229412281,-60.64960062503815
27,Abasto,Entre Ríos 2230,21,active,1628787000,False,0,19,1,-32.962680960480846,-60.64523935317993
28,Parque Hipólito Yrigoyen,27 de Febrero 880,32,active,1628786988,False,1,13,3,-32.96806835144843,-60.64059376716614
29,República de la Sexta,Buenos Aires 2181,22,active,1628786975,False,0,17,3,-32.96399070730771,-60.63680648803711
30,Barrio Martin,Mendoza 391,24,active,1628786995,False,0,16,0,-32.95339515393067,-60.62930703163147
31,Pichincha II,Salta 2820,25,active,1628786980,False,0,13,7,-32.935162788101124,-60.65977692604065
32,Plaza Cooperación,Tucuman 1221,27,active,1628786979,False,2,13,7,-32.94162782998716,-60.63880205154419
33,Barrio Parque,Av. Francia 2270,29,active,1628786976,False,0,4,8,-32.95894064873677,-60.67002296447754
34,Estadio Municipal,27 de Febrero 2700,30,active,1628786974,False,0,11,9,-32.963612638052126,-60.66525936126709
35,CC Echesortu,Mendoza 3481,34,active,1628786998,False,1,17,3,-32.94575602519591,-60.672104358673096
36,Paseo Pellegrini II,Av. Pellegrini 1851,20,active,1628786980,False,0,12,8,-32.9556277975818,-60.651172399520874
37,Club Provincial,Bv. Oroño 3180,49,active,1628786981,False,0,9,7,-32.971511248782775,-60.6603080034256
38,Barrio Hospitales,Rueda 1128,37,active,1628786995,False,1,13,7,-32.97084968284816,-60.64461708068848
39,Parque Hipólito Yrigoyen II,Além 2624,38,active,1628787001,False,0,12,4,-32.96977681526667,-60.633952617645264
40,Plaza Gral. Toribio de Luzuriaga,Av. San Martín 3427 y Uruguay,51,active,1628786987,False,1,10,6,-32.97733374029842,-60.64409136772156
41,Pellegrini y Avellaneda, Av. Pellegrini 4079,41,active,1628786981,False,1,10,2,-32.95019913442736,-60.68156719207764
42,Puerto Norte,Carballo 184,44,active,1628786984,False,1,8,12,-32.92301479484789,-60.66567778587341
43,Lagos y Segui,Ov. Lagos 3581 y Segui,47,active,1628786974,False,0,8,8,-32.974683996129144,-60.669100284576416
44,Barrio Matheu,Bv. Segui 1319 y Entre Ríos,50,active,1628786979,False,1,8,7,-32.978554143531696,-60.649391412734985
45,CC Echesortu II,Mendoza 4085 y Av. Avellaneda,45,active,1628786975,False,0,17,3,-32.944418997251766,-60.68002223968506
46,Bella Vista,Bv. Avellaneda 2389 y Godoy,39,active,1628786975,False,1,9,3,-32.957783865637914,-60.68373441696167
47,Alto Rosario,Junin 391,43,active,1628786995,False,2,9,11,-32.92653599347845,-60.6690788269043
48,Oroño y Segui,Bv. Segui 2186,48,active,1628786974,False,1,10,6,-32.97646608507204,-60.66103219985962
49,Plaza Eva Duarte de Perón,Ayacucho 3385 y Ayolas,52,active,1628786988,False,1,10,10,-32.97858114396427,-60.63432276248932
50,Refinería,Bv. Avellaneda  518 BIS y Carballo,42,active,1628786982,False,1,13,3,-32.92171051403622,-60.674591048545835
51,Arroyito,Bv. Avellaneda 1006 BIS y J. Ingenieros,46,active,1628786997,False,0,11,5,-32.916072619129054,-60.673173501081465
52,Barrio Agote,Salta 3228,35,active,1628786979,False,0,15,5,-32.934106315234914,-60.66570220787048
53,Cinco esquinas,Riobamba 3585  y San Nicolás ,40,active,1628786973,False,1,8,4,-32.95708325593757,-60.676323755569456
54,Barrio Lourdes,Mendoza 2771,23,active,1628786976,False,1,9,11,-32.947594287181566,-60.662102683372495
57,Avellaneda y Córdoba,Avellaneda 835,53,active,1628786973,False,3,7,13,-32.939457,-60.679149
58,Distrito Oeste,Av. Pte. Perón 4602,54,active,1628786983,False,0,8,12,-32.9581866,-60.6913242
60,Portal Rosario,Nansen 335,56,active,1628786981,False,1,9,10,-32.9093257,-60.6833951
62,Lisandro de la Torre,Bv. Rondeau 112,57,active,1628786998,False,0,6,14,-32.91422795893311,-60.686350568660984
67,Plaza Alberdi,Bv. Rondeau 1950,60,active,1628786974,False,0,8,12,-32.894645560577175,-60.69265425549448
68,Rondeau y Washington,Bv. Rondeau 1365,59,active,1628786974,False,2,13,3,-32.9004262817609,-60.69081468532575
69,PAMI II,Olivé 1175,55,active,1628786975,False,0,11,8,-32.91293717782394,-60.68009608761775
70,La Rambla,Av. Eudoro Carrasco 2034,61,active,1628786982,False,1,30,12,-32.89180515414552,-60.68577111042986
71,La Florida,Av. Eudoro Carrasco 3226,62,active,1628786985,False,1,9,11,-32.88490773761225,-60.687353021309754
72,Parque Alem,Av. Frondizi 3163,63,active,1628786986,False,0,14,6,-32.910503,-60.677572
73,Rondeau y Sorrento,Bv. Rondeau 883,58,active,1628787001,False,0,12,4,-32.906549276588485,-60.688922467747204
74,Mendoza y Sucre,Mendoza 4881,64,active,1628786981,False,1,19,1,-32.942375,-60.691032
75,Plaza Azcuénaga,Mendoza 5335,65,active,1628787000,False,1,10,10,-32.941427,-60.696252
76,Mendoza y Magallanes,Mendoza 6043,66,active,1628786984,False,2,12,8,-32.940079,-60.705073
77,Cuatro Plazas,Mendoza 6591,67,active,1628786996,False,0,16,4,-32.940247,-60.711147
78,Provincias Unidas y Eva Perón,Av. Provincias Unidas 410,68,active,1628786992,False,0,13,7,-32.933226,-60.713076
82,Distrito Noroeste,Av. Provincias Unidas 150 bis,69,active,1628786977,False,1,11,9,-32.928205,-60.712881
85,Costa Alta,Av. Eudoro Carrasco 4217,72,active,1628786998,False,0,7,13,-32.8736414,-60.6890764
